Date,Open,High,Low,Close,Volume,Symbol,Amount
2023-10-19,1364.48,1383.32,1347.47,1370.63,4099640,INFY.NS,5619071331.26
2023-10-20,1360.77,1363.12,1349.4,1349.4,4673951,INFY.NS,6307024583.79
2023-10-23,1343.48,1361.45,1337.6,1338.68,4543487,INFY.NS,6082285130.88
2023-10-24,1386.27,1395.73,1350.18,1378.56,1800219,INFY.NS,2481708111.42
2023-10-25,1418.51,1426.14,1406.69,1423.43,4876463,INFY.NS,6941323168.55
2023-10-26,1404.71,1414.69,1395.39,1403.93,5479825,INFY.NS,7693286633.18
2023-10-27,1362.6,1384.42,1356.08,1356.08,1632524,INFY.NS,2213836868.22
2023-10-30,1384.65,1395.99,1374.13,1374.13,4262311,INFY.NS,5856970845.76
2023-10-31,1352.12,1359.95,1345.55,1352.78,3848422,INFY.NS,5206072050.02
2023-11-01,1325.29,1330.0,1309.35,1324.22,2658453,INFY.NS,3520365268.27
2023-11-02,1323.73,1335.83,1316.09,1331.55,3189571,INFY.NS,4247063374.87
2023-11-03,1344.02,1351.69,1328.86,1349.02,1204184,INFY.NS,1624464010.87
2023-11-06,1320.85,1343.8,1319.37,1343.43,4429785,INFY.NS,5951100267.59
2023-11-07,1368.29,1385.66,1357.26,1372.13,3314965,INFY.NS,4548549689.74
2023-11-08,1348.56,1352.79,1341.22,1352.79,2950745,INFY.NS,3991740236.16
2023-11-09,1354.61,1355.96,1349.75,1352.65,2654185,INFY.NS,3590184317.73
2023-11-10,1359.69,1365.64,1357.95,1365.64,4872111,INFY.NS,6653541094.53
2023-11-13,1406.02,1433.42,1396.24,1406.32,4390807,INFY.NS,6174864858.63
2023-11-14,1387.15,1388.94,1378.32,1388.55,5465562,INFY.NS,7589190575.89
2023-11-15,1352.46,1354.81,1336.11,1350.53,3170496,INFY.NS,4281840015.02
2023-11-16,1353.3,1373.81,1339.89,1344.34,3557591,INFY.NS,4782628250.56
2023-11-17,1321.2,1325.67,1315.43,1325.67,4968767,INFY.NS,6586949793.43
2023-11-20,1363.37,1365.32,1349.56,1360.54,4635425,INFY.NS,6306698325.57
2023-11-21,1347.77,1363.81,1332.69,1332.69,5105496,INFY.NS,6804063898.08
2023-11-22,1304.26,1323.34,1300.96,1303.65,3653534,INFY.NS,4762915932.78
2023-11-23,1336.95,1350.62,1330.85,1332.44,3715480,INFY.NS,4950658102.48
2023-11-24,1250.6,1252.21,1245.32,1245.32,8048558,INFY.NS,10022992980.96
2023-11-27,1247.91,1257.68,1242.35,1247.79,4617536,INFY.NS,5761702424.32
2023-11-28,1279.93,1282.97,1273.62,1279.68,2515347,INFY.NS,3218838898.33
2023-11-29,1290.74,1304.8,1283.88,1293.12,4904498,INFY.NS,6342116029.8
2023-11-30,1298.34,1310.94,1295.4,1295.77,2696989,INFY.NS,3494679496.36
2023-12-01,1292.49,1307.84,1283.43,1293.67,1458106,INFY.NS,1886304498.82
2023-12-04,1319.16,1322.43,1313.41,1322.43,3482711,INFY.NS,4605633260.79
2023-12-05,1307.6,1316.94,1300.04,1309.79,4127300,INFY.NS,5405916515.03
2023-12-06,1362.94,1374.69,1357.27,1363.76,4810516,INFY.NS,6560381112.8
2023-12-07,1386.31,1403.11,1375.6,1387.23,2979810,INFY.NS,4133693325.51
2023-12-08,1390.47,1396.59,1384.35,1385.08,2791945,INFY.NS,3867079828.89
2023-12-11,1406.04,1416.4,1392.99,1399.12,5588471,INFY.NS,7818933156.56
2023-12-12,1405.93,1410.98,1399.27,1401.28,1607763,INFY.NS,2252925327.43
2023-12-13,1399.08,1413.44,1390.99,1403.94,3202446,INFY.NS,4496029080.0
